item_type,order_state,last_update_time,branch,customer,price
Muffins,Created,1979-04-10 22:27:21,40,1212,100
Cookies,Shipped,2020-06-06 23:44:53,593,1203,50
Muffins,Shipped,2016-01-01 07:59:21,696,1680,100
Cake,Canceled,1991-12-01 00:06:20,453,1678,500
Cake,Created,1997-10-18 21:06:57,928,1394,500
Muffins,Shipped,1994-10-28 08:12:50,508,1793,100
Cookies,Delivered,2021-03-22 15:56:58,109,1258,50
Cake,Created,1991-05-18 22:43:06,233,1503,500
Muffins,Shipped,1981-07-02 06:54:27,33,1579,100
Muffins,Shipped,2016-04-09 08:28:47,402,1195,100
Muffins,Created,2009-03-24 05:20:12,181,1738,100
Muffins,Shipped,1970-12-03 21:18:34,902,1490,100
Cookies,Delivered,1971-12-10 17:39:08,325,1796,50
Cake,Delivered,1989-04-25 07:46:47,955,1292,500
Muffins,Created,1996-10-24 10:26:43,996,1488,100
Cake,Created,2015-06-30 20:30:56,839,1853,500
Muffins,Shipped,1975-01-19 06:52:00,76,1957,100
Muffins,Created,2000-04-29 13:39:05,921,1732,100
Cookies,Shipped,1979-12-09 18:18:42,146,1483,50
Muffins,Canceled,1995-04-04 07:30:08,382,1423,100
Muffins,Delivered,1992-11-15 07:35:17,107,1110,100
Cookies,Canceled,1988-10-07 08:47:54,182,1784,50
Muffins,Canceled,2004-12-18 09:53:13,677,1021,100
Muffins,Shipped,2012-09-17 05:17:45,971,1417,100
Cake,Shipped,2017-09-18 18:28:53,228,1173,500
Cookies,Canceled,2011-10-27 20:29:03,591,1300,50
Cake,Canceled,2012-03-11 13:05:35,707,1636,500
Muffins,Delivered,1989-08-26 16:30:45,831,1703,100
Muffins,Canceled,1984-12-09 09:34:56,58,1378,100
Muffins,Delivered,2020-08-08 16:06:31,754,1135,100
Muffins,Delivered,2008-01-01 09:23:58,182,1519,100
Muffins,Shipped,2012-02-03 21:52:57,67,1046,100
Muffins,Shipped,1998-08-02 03:25:51,819,1850,100
Muffins,Shipped,2007-06-11 02:32:11,255,1759,100
Muffins,Delivered,2003-04-09 06:26:27,11,1781,100
Muffins,Created,2000-03-29 23:28:12,301,1550,100
Cake,Shipped,2010-12-24 22:42:57,721,1364,500
Cake,Canceled,2000-01-15 03:04:29,782,1362,500
Cookies,Delivered,1981-07-14 00:30:43,325,1207,50
Cake,Delivered,1981-11-04 20:57:24,735,1184,500
Cookies,Shipped,1983-07-27 20:49:26,139,1939,50
Muffins,Shipped,1994-08-04 20:50:00,921,1385,100
Cake,Delivered,2007-11-13 13:12:19,218,1404,500
Cake,Shipped,1977-05-18 04:08:24,310,1730,500
Muffins,Created,2023-05-24 13:55:41,524,1526,100
Muffins,Shipped,1984-02-20 15:41:42,609,1965,100
Cake,Delivered,1993-10-07 02:45:48,881,1033,500
Cake,Shipped,2003-07-19 09:49:38,293,1210,500
Cake,Delivered,2001-07-24 16:03:59,815,1597,500
Muffins,Delivered,1970-09-26 16:02:24,637,1101,100
Muffins,Shipped,2008-10-25 06:28:07,972,1642,100
Muffins,Canceled,2016-12-31 13:19:57,269,1944,100
Cake,Canceled,1987-03-20 03:27:14,103,1197,500
Cake,Created,1996-07-28 16:11:38,283,1882,500
Cake,Created,1996-12-09 00:26:20,565,1747,500
Cake,Canceled,1990-09-02 19:37:15,769,1536,500
Cake,Shipped,2000-10-12 12:33:36,969,1059,500
Cake,Delivered,1971-11-22 16:36:58,194,1162,500
Cake,Delivered,1973-05-26 09:03:53,300,1738,500
Muffins,Shipped,1982-06-14 13:09:34,698,1839,100
Muffins,Created,1971-07-06 19:44:28,466,1951,100
Cake,Delivered,1973-07-04 14:26:07,972,1670,500
Cookies,Canceled,2011-01-28 18:45:27,461,1159,50
Muffins,Canceled,1997-10-08 17:42:23,565,1495,100
Muffins,Created,1972-07-03 08:50:05,813,1095,100
Cookies,Created,1982-09-11 18:54:48,763,1725,50
Muffins,Delivered,2022-11-26 09:49:08,102,1220,100
Cookies,Delivered,1989-06-26 07:11:04,55,1725,50
Muffins,Created,1991-01-22 19:22:12,112,1786,100
Muffins,Shipped,1987-11-29 23:56:09,405,1899,100
Cookies,Delivered,1970-01-10 10:44:00,843,1210,50
Cake,Created,1990-08-19 19:17:26,885,1471,500
Muffins,Created,1991-02-05 15:35:18,646,1111,100
Cookies,Delivered,2003-07-07 22:04:46,866,1579,50
Cake,Shipped,1984-11-08 02:47:08,145,1245,500
Cake,Shipped,1980-03-16 22:45:53,708,1965,500
Cookies,Canceled,2008-03-21 00:57:46,339,1743,50
Cookies,Shipped,2010-08-15 10:24:29,724,1771,50
Cookies,Canceled,1976-04-27 15:38:22,168,1658,50
Muffins,Delivered,1988-08-22 02:27:30,64,1204,100
Muffins,Delivered,1998-03-02 01:30:22,704,1293,100
Cake,Created,1998-08-06 22:59:41,879,1581,500
Cake,Delivered,1996-05-25 03:05:44,931,1007,500
Cookies,Created,1988-07-24 23:18:21,238,1386,50
Cake,Delivered,2004-05-01 20:14:05,39,1467,500
Muffins,Delivered,2022-05-20 23:50:32,690,1470,100
Cake,Shipped,1995-08-06 04:07:14,784,1402,500
Cake,Delivered,1971-01-29 11:40:42,691,1824,500
Muffins,Created,1997-01-06 18:29:37,291,1672,100
Muffins,Shipped,1988-07-09 17:33:31,887,1273,100
Muffins,Canceled,1992-01-30 16:28:23,350,1056,100
Cake,Created,1994-06-20 12:20:44,861,1456,500
Cookies,Delivered,1991-03-08 19:20:13,374,1802,50
Muffins,Canceled,1991-03-14 05:10:39,610,1816,100
Cake,Delivered,2019-04-27 17:35:14,42,1455,500
Muffins,Created,2021-11-23 15:11:58,341,1311,100
Cake,Shipped,1989-11-03 06:38:51,534,1339,500
Muffins,Canceled,2019-07-02 10:12:16,546,1402,100
Muffins,Delivered,1991-04-29 03:18:59,215,1578,100
Cookies,Shipped,2005-02-08 16:27:13,561,1228,50
Muffins,Created,1980-07-10 08:21:02,770,1331,100
Cookies,Delivered,2001-04-10 23:34:49,42,1744,50
Muffins,Canceled,1983-08-09 09:12:19,34,1430,100
Muffins,Created,2001-01-20 20:59:59,82,1089,100
Muffins,Delivered,2012-06-24 17:04:49,294,1687,100
Cake,Shipped,2007-01-24 03:59:04,110,1381,500
Cookies,Shipped,1988-01-09 09:50:34,127,1702,50
Cookies,Shipped,2015-07-30 19:46:18,302,1603,50
Cake,Canceled,1974-01-13 15:34:35,838,1295,500
Muffins,Shipped,1993-02-08 16:25:12,215,1983,100
Cake,Canceled,1978-11-09 05:57:58,511,1233,500
Cake,Canceled,1971-09-24 23:53:36,873,1186,500
Cookies,Canceled,1987-03-20 00:09:11,97,1169,50
Cake,Created,1973-04-28 14:39:07,443,1105,500
Muffins,Canceled,1973-08-27 18:24:35,692,1429,100
Cake,Created,1981-05-24 13:16:39,674,1355,500
Muffins,Shipped,1991-05-13 22:01:10,777,1208,100
Muffins,Delivered,1970-02-13 18:29:26,546,1657,100
Muffins,Created,1970-05-06 11:40:54,950,1416,100
Cookies,Delivered,1988-11-17 12:23:19,324,1245,50
Cookies,Canceled,2007-03-18 13:53:56,492,1333,50
Cake,Canceled,1974-02-07 02:36:03,601,1599,500
Cookies,Shipped,1987-09-30 07:45:47,110,1823,50
Cake,Shipped,2003-10-01 06:02:59,265,1820,500
Muffins,Created,1974-11-02 01:57:10,435,1714,100
Cookies,Created,1999-08-25 11:38:18,427,1104,50
Muffins,Canceled,1989-12-26 01:16:58,139,1131,100
Muffins,Canceled,1991-06-18 11:08:37,320,1706,100
Cake,Shipped,1986-12-28 01:50:02,497,1538,500
Muffins,Shipped,1998-09-19 10:17:22,476,1486,100
Muffins,Delivered,2010-03-26 22:39:12,586,1124,100
Cookies,Canceled,1976-11-20 20:02:25,912,1328,50
Cake,Delivered,2009-11-06 18:56:34,205,1551,500
Muffins,Canceled,2002-08-26 21:02:18,731,1172,100
Cake,Canceled,2005-08-21 11:10:55,397,1159,500
Muffins,Created,1983-06-09 20:07:01,188,1527,100
Cookies,Canceled,2015-12-12 09:40:31,399,1229,50
Cookies,Shipped,1993-07-15 08:34:11,587,1416,50
Muffins,Delivered,1980-10-22 18:31:22,877,1764,100
Cookies,Canceled,1991-05-24 06:45:27,840,1175,50
Cake,Shipped,1992-11-04 16:24:27,635,1172,500
Cake,Created,2011-05-25 09:19:32,235,1994,500
Cookies,Canceled,1998-11-26 03:40:02,439,1407,50
Cake,Delivered,1986-08-22 20:47:37,347,1865,500
Cake,Delivered,1998-07-02 22:33:08,201,1998,500
Muffins,Created,1998-10-25 06:49:24,932,1067,100
Muffins,Delivered,1980-01-11 03:12:09,567,1517,100
Muffins,Delivered,2009-06-25 18:29:57,628,1402,100
Cake,Delivered,1991-02-03 02:41:24,321,1006,500
Cookies,Canceled,1979-08-17 14:43:28,792,1984,50
Cake,Created,1979-08-19 13:23:47,362,1453,500
Cake,Delivered,1993-10-12 20:40:17,577,1198,500
Cookies,Canceled,2011-05-22 06:22:06,205,1148,50
Cookies,Created,1997-11-04 20:45:29,125,1401,50
Cake,Canceled,2019-05-19 11:20:06,66,1714,500
Muffins,Canceled,2013-03-29 21:44:16,69,1802,100
Muffins,Shipped,2009-03-17 11:45:45,230,1681,100
Muffins,Delivered,2015-02-08 19:14:34,435,1352,100
Muffins,Created,1970-09-22 17:57:41,930,1995,100
Cake,Shipped,1973-10-29 07:20:27,685,1516,500
Muffins,Created,2012-12-03 11:22:46,936,1974,100
Muffins,Delivered,1986-10-16 02:08:11,656,1897,100
Muffins,Shipped,2014-04-02 15:42:42,684,1636,100
Muffins,Canceled,1992-12-21 22:35:54,141,1604,100
Cake,Delivered,2007-03-10 20:17:58,500,1290,500
Cookies,Shipped,1975-02-12 22:33:04,84,1237,50
Muffins,Shipped,1997-08-19 08:02:40,682,2000,100
Cookies,Created,2000-06-10 13:01:01,921,1313,50
Cookies,Shipped,1984-07-03 00:36:52,574,1676,50
Cake,Shipped,1999-03-18 11:36:05,809,1656,500
Cake,Delivered,2010-02-09 06:10:32,981,1419,500
Cake,Shipped,2004-11-03 10:17:50,756,1020,500
Cookies,Created,2001-01-21 08:39:27,374,1675,50
Muffins,Created,1983-05-22 00:04:40,329,1526,100
Cookies,Canceled,2013-01-19 17:26:00,150,1468,50
Cookies,Shipped,1999-04-02 06:58:57,790,1055,50
Muffins,Canceled,1991-12-02 01:59:32,33,1707,100
Cookies,Delivered,2013-01-14 09:16:37,733,1052,50
Cake,Canceled,2003-08-05 08:40:59,815,1089,500
Cake,Shipped,2016-04-04 08:44:53,531,1270,500
Cake,Canceled,2007-11-09 22:10:54,753,1235,500
Cookies,Delivered,2012-03-12 17:40:19,743,1661,50
Muffins,Canceled,1974-07-16 02:03:35,558,1049,100
Cookies,Shipped,1996-04-10 19:01:18,138,1448,50
Muffins,Shipped,2020-10-09 03:11:01,37,1349,100
Cake,Delivered,1977-11-06 15:04:33,251,1801,500
Cookies,Canceled,2018-11-06 00:09:25,69,1214,50
Cake,Created,2014-08-23 02:34:02,738,1846,500
Muffins,Created,2002-08-29 04:11:49,573,1136,100
Cake,Delivered,1972-01-28 06:32:35,166,1122,500
Cake,Canceled,2000-08-06 15:05:04,634,1661,500
Muffins,Shipped,2009-08-22 17:46:16,58,1964,100
Cookies,Delivered,1984-09-02 12:05:01,852,1252,50
Muffins,Created,2018-09-08 01:51:52,95,1666,100
Cake,Shipped,1974-12-16 00:23:51,736,1781,500
Cake,Canceled,2006-03-28 15:25:14,673,1178,500
Cake,Canceled,1996-11-03 03:38:26,310,1967,500
Muffins,Delivered,1994-10-03 17:21:37,848,1244,100
Cookies,Canceled,1985-09-16 04:22:33,501,1350,50
Muffins,Shipped,2014-10-06 21:49:46,74,1811,100
Cookies,Shipped,2001-08-28 14:50:12,790,1975,50
Cake,Canceled,2015-01-29 00:58:42,27,1638,500
Cake,Canceled,1999-01-22 16:27:48,831,1197,500
Muffins,Delivered,2014-03-11 15:24:37,653,1905,100
Muffins,Shipped,1996-09-27 14:21:00,306,1088,100
Muffins,Created,2012-03-13 04:55:26,587,1138,100
Cake,Canceled,1983-12-03 21:21:09,755,1282,500
Muffins,Delivered,2004-10-03 16:03:47,776,1967,100
Cookies,Shipped,1994-07-15 23:33:46,902,1912,50
Muffins,Shipped,1979-10-30 20:41:11,468,1629,100
Cookies,Created,2016-08-01 03:39:43,982,1360,50
Muffins,Shipped,2000-03-18 11:00:04,319,1630,100
Cookies,Canceled,1988-05-12 13:31:39,517,1054,50
Muffins,Created,2018-04-06 13:59:39,584,1316,100
Cookies,Delivered,1986-06-12 12:53:11,760,1925,50
Cookies,Delivered,1998-04-02 22:58:06,453,1809,50
Cake,Shipped,2000-12-23 12:57:33,328,1500,500
Cookies,Canceled,1986-04-10 18:57:00,801,1750,50
Cake,Canceled,2009-01-06 19:03:33,351,1422,500
Muffins,Canceled,2016-01-29 21:10:42,513,1406,100
Cookies,Canceled,1971-10-10 18:22:23,134,1301,50
Cookies,Created,1998-06-15 21:43:03,330,1048,50
Muffins,Canceled,1995-06-05 16:24:20,769,1741,100
Muffins,Shipped,2001-03-19 02:50:50,665,1313,100
Cookies,Canceled,2019-08-09 10:19:18,504,1935,50
Cake,Created,1989-02-01 16:52:57,102,1320,500
Cookies,Shipped,2014-10-11 09:53:21,911,1784,50
Muffins,Created,2018-06-04 06:42:15,766,1108,100
Cookies,Shipped,1983-07-23 16:46:15,393,1485,50
Muffins,Delivered,1972-03-14 11:12:21,164,1826,100
Cake,Created,2006-07-18 11:21:48,401,1418,500
Muffins,Delivered,2007-01-23 01:13:21,744,1846,100
Cake,Created,2003-12-06 01:22:43,49,1810,500
Cake,Canceled,1999-12-29 02:04:11,443,1876,500
Cake,Shipped,2016-02-09 18:52:59,523,1129,500
Muffins,Created,1978-02-14 20:31:11,654,1323,100
Muffins,Canceled,1981-04-01 11:56:57,101,1766,100
Muffins,Created,2002-08-24 05:46:15,698,1024,100
Muffins,Created,2011-09-25 19:27:05,70,1065,100
Muffins,Shipped,1989-06-23 00:05:16,335,1809,100
Cookies,Delivered,2003-07-18 17:19:09,186,1761,50
Muffins,Created,2002-03-04 07:17:35,482,1308,100
Cookies,Created,1996-10-02 01:24:39,879,1227,50
Muffins,Canceled,1986-07-25 12:17:24,239,1086,100
Cake,Created,1979-02-15 06:07:17,385,1424,500
Cake,Created,1999-11-21 09:59:54,822,1809,500
Cookies,Shipped,1989-10-26 14:11:04,938,1375,50
Cookies,Delivered,1971-08-27 04:22:49,70,1992,50
Muffins,Delivered,1981-10-29 03:34:19,646,1496,100
Cake,Canceled,2021-03-02 21:48:10,947,1301,500
Cookies,Created,1993-07-31 17:12:25,968,1379,50
Muffins,Canceled,1989-04-15 23:54:22,571,1044,100
Cookies,Canceled,1985-06-28 21:23:25,750,1152,50
Cookies,Delivered,1996-11-26 03:42:40,193,1012,50
Muffins,Delivered,2010-01-03 14:26:35,931,1538,100
Muffins,Canceled,1981-07-27 14:05:43,303,1704,100
Cookies,Delivered,1979-09-29 14:14:19,381,1219,50
Cookies,Created,2010-03-13 18:50:09,647,1240,50
Cookies,Canceled,1971-09-03 23:47:04,839,1294,50
Cookies,Shipped,1978-03-24 11:44:18,101,1763,50
Cake,Delivered,1999-01-23 13:24:47,84,1171,500
Cookies,Delivered,2015-09-29 02:43:25,590,1172,50
Cookies,Delivered,1974-06-29 09:15:57,34,1062,50
Muffins,Canceled,2002-07-09 22:09:27,835,1444,100
Muffins,Canceled,1993-01-14 19:45:32,173,1838,100
Cookies,Canceled,1976-08-08 18:55:30,902,1850,50
Cookies,Delivered,2006-12-06 23:34:08,115,1918,50
Muffins,Shipped,1997-11-03 07:52:15,537,1540,100
Cookies,Created,2017-05-19 00:09:44,823,1143,50
Cake,Canceled,1990-06-14 16:01:20,507,1234,500
Cookies,Canceled,2005-03-19 02:20:15,335,1596,50
Muffins,Created,2006-01-13 15:38:05,432,1056,100
Muffins,Delivered,1976-04-07 05:05:47,992,1866,100
Cake,Created,2007-05-08 02:37:07,93,1708,500
Muffins,Delivered,1973-03-20 02:28:09,4,1580,100
Cake,Delivered,2022-03-30 02:54:07,405,1676,500
Muffins,Canceled,2012-12-02 08:23:32,893,1517,100
Cake,Delivered,1976-01-06 03:59:59,385,1023,500
Cookies,Created,1979-11-05 09:09:15,884,1757,50
Cookies,Canceled,2019-04-03 09:09:42,975,1653,50
Muffins,Created,1994-11-25 14:42:29,686,1538,100
Cake,Delivered,1974-04-08 15:01:02,913,1638,500
Muffins,Canceled,1999-02-23 23:19:42,77,1178,100
Cake,Delivered,1976-08-12 06:06:12,207,1212,500
Cake,Shipped,1987-11-07 11:36:55,43,1097,500
Cookies,Canceled,1997-06-01 20:36:58,842,1490,50
Cake,Canceled,2022-07-23 22:50:32,876,1316,500
Muffins,Delivered,1987-04-13 02:31:52,593,1881,100
Muffins,Shipped,1982-09-23 06:09:31,650,1751,100
Cake,Canceled,1997-11-03 03:52:44,733,1916,500
Cake,Created,1994-03-26 16:31:04,969,1206,500
Muffins,Delivered,2014-08-25 18:55:45,829,1642,100
Cake,Canceled,1971-02-25 09:58:01,438,1462,500
Muffins,Shipped,2006-07-15 16:56:11,800,1395,100
Cake,Created,1970-07-31 02:01:10,762,1413,500
Cake,Canceled,2008-07-08 15:34:43,861,1513,500
Muffins,Canceled,1999-06-16 10:46:47,410,1488,100
Cookies,Created,1988-07-11 10:30:31,350,1896,50
Cookies,Canceled,1978-07-31 13:10:40,281,1240,50
Muffins,Created,1984-02-26 04:21:20,467,1225,100
Muffins,Shipped,2015-11-08 09:19:01,302,1525,100
Muffins,Delivered,1993-10-12 08:37:23,774,1656,100
Cookies,Canceled,2000-02-12 16:07:42,671,1693,50
Cake,Delivered,1995-08-21 02:50:09,521,1736,500
Cake,Canceled,1998-12-18 23:28:05,639,1291,500
Cookies,Canceled,2016-06-30 11:33:07,348,1798,50
Cake,Canceled,2018-03-11 04:15:30,832,1381,500
Muffins,Delivered,1983-01-08 06:25:59,118,1834,100
Cookies,Created,2015-10-15 22:17:57,140,1657,50
Muffins,Created,2019-12-30 07:58:46,263,1276,100
Cake,Shipped,2019-10-09 18:16:53,387,1949,500
Cookies,Created,1995-12-24 10:29:16,921,1594,50
Cookies,Created,1982-05-17 11:09:54,146,1267,50
Cookies,Created,1973-01-01 14:29:19,552,1394,50
Muffins,Canceled,1999-01-10 22:23:39,519,1838,100
Muffins,Delivered,1991-08-15 13:56:56,492,1689,100
Cookies,Delivered,1997-09-19 18:09:42,760,1698,50
Muffins,Shipped,1971-09-19 00:54:28,200,1748,100
Muffins,Created,2023-07-06 21:16:18,557,1636,100
Muffins,Delivered,1998-07-13 13:55:29,823,1100,100
Cake,Canceled,1981-04-19 17:54:36,95,1377,500
Cookies,Shipped,1998-07-22 11:33:09,680,1379,50
Muffins,Delivered,2011-02-06 08:27:13,377,1505,100
Muffins,Shipped,1990-06-21 14:44:21,871,1073,100
Cake,Shipped,1990-05-31 05:03:32,652,1898,500
Cake,Shipped,2007-07-23 23:00:55,54,1808,500
Muffins,Created,2022-10-05 23:29:20,688,1084,100
Cake,Canceled,1971-10-18 05:31:43,638,1055,500
Cake,Canceled,1991-02-27 03:02:43,413,1254,500
Cake,Created,2011-04-28 23:45:35,384,1943,500
Cake,Canceled,1990-06-20 01:29:15,923,1523,500
Muffins,Created,1976-06-27 03:26:51,733,1017,100
Muffins,Delivered,1976-11-09 14:04:42,593,1217,100
Cake,Delivered,1977-01-15 01:09:57,543,1772,500
Cake,Canceled,1981-07-24 01:12:12,788,1138,500
Muffins,Canceled,1975-12-31 10:41:14,295,1973,100
Muffins,Shipped,2018-10-17 16:12:09,530,1719,100
Cookies,Delivered,1986-04-10 11:37:02,87,1187,50
Muffins,Delivered,1998-04-19 20:22:34,461,1322,100
Muffins,Shipped,2014-10-18 01:13:58,892,1894,100
Cake,Shipped,1978-11-24 14:23:30,50,1427,500
Muffins,Created,1972-04-04 07:43:55,991,1039,100
Muffins,Canceled,2007-09-10 01:39:25,838,1619,100
Cake,Canceled,2023-04-05 08:57:26,254,1647,500
Cake,Created,1986-10-14 17:24:32,645,1667,500
Cake,Shipped,2022-12-28 16:19:01,178,1393,500
Cookies,Created,2011-05-18 10:10:10,784,1293,50
Cake,Shipped,2018-01-05 15:09:15,307,1704,500
Cake,Shipped,2006-04-14 14:06:07,272,1886,500
Cookies,Delivered,1975-01-14 03:57:29,716,1348,50
Cookies,Canceled,2023-03-28 11:34:41,872,1588,50
Cookies,Created,1975-12-10 07:40:19,924,1453,50
Cake,Shipped,1981-11-08 00:18:17,54,1414,500
Cookies,Delivered,1979-08-21 10:34:10,820,1751,50
Cake,Delivered,1991-07-15 02:04:56,885,1644,500
Cookies,Delivered,1997-08-27 09:27:27,881,1439,50
Cookies,Shipped,2006-08-15 06:08:57,829,1034,50
Cake,Canceled,2005-11-02 10:22:17,651,1112,500
Cake,Delivered,2021-12-14 17:33:50,754,1512,500
Cookies,Canceled,2011-01-25 15:52:43,86,1535,50
Cookies,Canceled,1984-02-20 11:08:53,38,1758,50
Cookies,Shipped,2014-11-30 08:12:25,169,1014,50
Muffins,Created,2013-07-07 04:02:48,528,1522,100
Cookies,Shipped,2012-01-19 21:15:31,568,1986,50
Muffins,Created,1980-06-20 11:44:41,455,1542,100
Muffins,Created,2003-05-04 21:59:39,790,1644,100
Muffins,Created,1987-01-10 00:03:48,978,1540,100
Cookies,Created,1983-12-03 17:23:36,912,1304,50
Cookies,Delivered,2000-01-12 16:23:54,224,1216,50
Cake,Shipped,2002-11-05 15:34:06,628,1752,500
Muffins,Created,2006-02-22 03:39:55,604,1291,100
Cake,Canceled,1989-09-30 09:07:26,975,1202,500
Cake,Shipped,2008-08-15 05:59:30,819,1032,500
Cookies,Created,2013-11-05 08:52:01,70,1894,50
Muffins,Created,2010-03-22 10:44:54,568,1765,100
Cookies,Canceled,1988-02-25 18:07:33,293,1744,50
Cookies,Created,2009-05-06 04:26:18,374,1121,50
Muffins,Shipped,1995-04-15 04:48:20,776,1081,100
Cookies,Created,2022-09-07 04:16:05,659,1463,50
Cake,Delivered,1995-02-05 18:26:27,304,1449,500
Cookies,Delivered,1973-10-20 11:28:02,542,1529,50
Cake,Shipped,1982-04-02 20:01:32,170,1973,500
Cake,Delivered,1998-12-08 15:57:25,805,1880,500
Cake,Delivered,1973-07-18 10:51:14,987,1202,500
Cake,Created,2013-12-09 08:47:13,521,1530,500
Muffins,Canceled,2012-07-30 14:05:43,940,1409,100
Muffins,Shipped,2014-08-23 05:54:43,914,1769,100
Cookies,Created,1988-03-17 10:49:54,166,1256,50
Cake,Canceled,1972-09-17 13:34:01,13,1193,500
Cookies,Delivered,1998-01-17 21:05:10,488,1617,50
Muffins,Shipped,2006-09-30 01:50:43,181,1382,100
Muffins,Canceled,1986-03-06 05:44:15,218,1949,100
Cookies,Delivered,2008-09-01 07:15:33,731,1339,50
Cake,Shipped,2018-11-29 13:00:44,444,1011,500
Muffins,Delivered,2005-05-14 07:26:06,769,1884,100
Cookies,Created,2003-04-26 08:41:27,964,1244,50
Cookies,Created,1975-10-07 10:49:00,740,1170,50
Cake,Shipped,2005-12-09 23:23:35,552,1263,500
Cake,Created,2003-09-28 14:52:39,18,1914,500
Cookies,Shipped,1977-11-13 20:54:09,289,1586,50
Muffins,Canceled,1991-08-27 18:31:56,762,1570,100
Muffins,Shipped,2001-03-28 16:15:09,175,1388,100
Muffins,Delivered,2009-09-04 13:00:26,739,1517,100
Cookies,Canceled,1986-05-31 12:42:35,958,1191,50
Cake,Shipped,1979-06-18 12:29:45,905,1337,500
